Using device: cuda
[Seed 2] Epoch 005/100 | train_loss=0.2170 | val_loss=0.2518 | val_acc=0.9093
[Seed 2] Epoch 006/100 | train_loss=0.2028 | val_loss=0.2610 | val_acc=0.9114
[Seed 2] Epoch 007/100 | train_loss=0.1888 | val_loss=0.2596 | val_acc=0.9100
[Seed 2] Epoch 008/100 | train_loss=0.1751 | val_loss=0.2580 | val_acc=0.9139
[Seed 2] Epoch 009/100 | train_loss=0.1604 | val_loss=0.2617 | val_acc=0.9114
[Seed 2] Epoch 010/100 | train_loss=0.1461 | val_loss=0.3030 | val_acc=0.8996
[Seed 2] Epoch 011/100 | train_loss=0.1327 | val_loss=0.3006 | val_acc=0.9104
[Seed 2] Epoch 012/100 | train_loss=0.1209 | val_loss=0.2867 | val_acc=0.9120
[Seed 2] Epoch 013/100 | train_loss=0.1090 | val_loss=0.2897 | val_acc=0.9116
[Seed 2] Epoch 014/100 | train_loss=0.1010 | val_loss=0.2931 | val_acc=0.9157
[Seed 2] Epoch 015/100 | train_loss=0.0900 | val_loss=0.3152 | val_acc=0.9146
[Seed 2] Epoch 016/100 | train_loss=0.0850 | val_loss=0.3324 | val_acc=0.9100
[Seed 2] Epoch 017/100 | train_loss=0.0777 | val_loss=0.3415 | val_acc=0.9163
[Seed 2] Epoch 018/100 | train_loss=0.0695 | val_loss=0.3420 | val_acc=0.9132
[Seed 2] Epoch 019/100 | train_loss=0.0585 | val_loss=0.3712 | val_acc=0.9117
[Seed 2] Epoch 020/100 | train_loss=0.0583 | val_loss=0.3730 | val_acc=0.9159
[Seed 2] Epoch 021/100 | train_loss=0.0510 | val_loss=0.3896 | val_acc=0.9161
[Seed 2] Epoch 022/100 | train_loss=0.0490 | val_loss=0.3970 | val_acc=0.9149
[Seed 2] Epoch 023/100 | train_loss=0.0474 | val_loss=0.3930 | val_acc=0.9159
[Seed 2] Epoch 024/100 | train_loss=0.0387 | val_loss=0.4095 | val_acc=0.9139
[Seed 2] Epoch 025/100 | train_loss=0.0365 | val_loss=0.4258 | val_acc=0.9157
[Seed 2] Epoch 026/100 | train_loss=0.0357 | val_loss=0.4220 | val_acc=0.9166
[Seed 2] Epoch 027/100 | train_loss=0.0399 | val_loss=0.4646 | val_acc=0.9099
[Seed 2] Epoch 028/100 | train_loss=0.0352 | val_loss=0.4228 | val_acc=0.9168
[Seed 2] Epoch 029/100 | train_loss=0.0273 | val_loss=0.4758 | val_acc=0.9172
[Seed 2] Epoch 030/100 | train_loss=0.0274 | val_loss=0.4749 | val_acc=0.9146
[Seed 2] Epoch 031/100 | train_loss=0.0244 | val_loss=0.4644 | val_acc=0.9145
[Seed 2] Epoch 032/100 | train_loss=0.0225 | val_loss=0.4872 | val_acc=0.9176
[Seed 2] Epoch 033/100 | train_loss=0.0247 | val_loss=0.4647 | val_acc=0.9134
[Seed 2] Epoch 034/100 | train_loss=0.0217 | val_loss=0.5013 | val_acc=0.9154
[Seed 2] Epoch 035/100 | train_loss=0.0196 | val_loss=0.4874 | val_acc=0.9172
[Seed 2] Epoch 036/100 | train_loss=0.0214 | val_loss=0.4960 | val_acc=0.9143
[Seed 2] Epoch 037/100 | train_loss=0.0217 | val_loss=0.5110 | val_acc=0.9137
[Seed 2] Epoch 038/100 | train_loss=0.0155 | val_loss=0.5109 | val_acc=0.9174
[Seed 2] Epoch 039/100 | train_loss=0.0159 | val_loss=0.5242 | val_acc=0.9137
[Seed 2] Epoch 040/100 | train_loss=0.0145 | val_loss=0.5145 | val_acc=0.9164
[Seed 2] Epoch 041/100 | train_loss=0.0149 | val_loss=0.5414 | val_acc=0.9167
[Seed 2] Epoch 042/100 | train_loss=0.0157 | val_loss=0.5270 | val_acc=0.9166
[Seed 2] Epoch 043/100 | train_loss=0.0136 | val_loss=0.5233 | val_acc=0.9154
[Seed 2] Epoch 044/100 | train_loss=0.0121 | val_loss=0.5533 | val_acc=0.9130
[Seed 2] Epoch 045/100 | train_loss=0.0127 | val_loss=0.5595 | val_acc=0.9174
[Seed 2] Epoch 046/100 | train_loss=0.0132 | val_loss=0.5228 | val_acc=0.9134
[Seed 2] Epoch 047/100 | train_loss=0.0109 | val_loss=0.5459 | val_acc=0.9183
[Seed 2] Epoch 048/100 | train_loss=0.0130 | val_loss=0.5520 | val_acc=0.9175
[Seed 2] Epoch 049/100 | train_loss=0.0093 | val_loss=0.5854 | val_acc=0.9174
[Seed 2] Epoch 050/100 | train_loss=0.0104 | val_loss=0.5738 | val_acc=0.9183
[Seed 2] Epoch 051/100 | train_loss=0.0096 | val_loss=0.5713 | val_acc=0.9191
[Seed 2] Epoch 052/100 | train_loss=0.0086 | val_loss=0.5511 | val_acc=0.9193
[Seed 2] Epoch 053/100 | train_loss=0.0095 | val_loss=0.5612 | val_acc=0.9186
[Seed 2] Epoch 054/100 | train_loss=0.0081 | val_loss=0.5819 | val_acc=0.9168
[Seed 2] Epoch 055/100 | train_loss=0.0077 | val_loss=0.5890 | val_acc=0.9146
