Using device: cuda
[Seed 1] Epoch 005/100 | train_loss=0.2598 | val_loss=0.2775 | val_acc=0.9005
[Seed 1] Epoch 006/100 | train_loss=0.2519 | val_loss=0.2699 | val_acc=0.9021
[Seed 1] Epoch 007/100 | train_loss=0.2451 | val_loss=0.2666 | val_acc=0.9054
[Seed 1] Epoch 008/100 | train_loss=0.2404 | val_loss=0.2616 | val_acc=0.9082
[Seed 1] Epoch 009/100 | train_loss=0.2347 | val_loss=0.2556 | val_acc=0.9095
[Seed 1] Epoch 010/100 | train_loss=0.2302 | val_loss=0.2618 | val_acc=0.9064
[Seed 1] Epoch 011/100 | train_loss=0.2265 | val_loss=0.2498 | val_acc=0.9121
[Seed 1] Epoch 012/100 | train_loss=0.2205 | val_loss=0.2482 | val_acc=0.9139
[Seed 1] Epoch 013/100 | train_loss=0.2166 | val_loss=0.2448 | val_acc=0.9137
[Seed 1] Epoch 014/100 | train_loss=0.2122 | val_loss=0.2448 | val_acc=0.9149
[Seed 1] Epoch 015/100 | train_loss=0.2082 | val_loss=0.2453 | val_acc=0.9141
[Seed 1] Epoch 016/100 | train_loss=0.2047 | val_loss=0.2398 | val_acc=0.9170
[Seed 1] Epoch 017/100 | train_loss=0.2006 | val_loss=0.2404 | val_acc=0.9164
[Seed 1] Epoch 018/100 | train_loss=0.1971 | val_loss=0.2362 | val_acc=0.9178
[Seed 1] Epoch 019/100 | train_loss=0.1929 | val_loss=0.2354 | val_acc=0.9180
[Seed 1] Epoch 020/100 | train_loss=0.1898 | val_loss=0.2349 | val_acc=0.9196
[Seed 1] Epoch 021/100 | train_loss=0.1864 | val_loss=0.2356 | val_acc=0.9179
[Seed 1] Epoch 022/100 | train_loss=0.1848 | val_loss=0.2328 | val_acc=0.9196
[Seed 1] Epoch 023/100 | train_loss=0.1798 | val_loss=0.2316 | val_acc=0.9218
[Seed 1] Epoch 024/100 | train_loss=0.1773 | val_loss=0.2375 | val_acc=0.9170
[Seed 1] Epoch 025/100 | train_loss=0.1749 | val_loss=0.2373 | val_acc=0.9151
[Seed 1] Epoch 026/100 | train_loss=0.1705 | val_loss=0.2350 | val_acc=0.9189
[Seed 1] Epoch 027/100 | train_loss=0.1691 | val_loss=0.2321 | val_acc=0.9189
[Seed 1] Epoch 028/100 | train_loss=0.1664 | val_loss=0.2291 | val_acc=0.9203
[Seed 1] Epoch 029/100 | train_loss=0.1617 | val_loss=0.2310 | val_acc=0.9191
[Seed 1] Epoch 030/100 | train_loss=0.1598 | val_loss=0.2330 | val_acc=0.9201
[Seed 1] Epoch 031/100 | train_loss=0.1564 | val_loss=0.2296 | val_acc=0.9195
[Seed 1] Epoch 032/100 | train_loss=0.1526 | val_loss=0.2298 | val_acc=0.9209
[Seed 1] Epoch 033/100 | train_loss=0.1516 | val_loss=0.2291 | val_acc=0.9201
[Seed 1] Epoch 034/100 | train_loss=0.1483 | val_loss=0.2278 | val_acc=0.9229
[Seed 1] Epoch 035/100 | train_loss=0.1445 | val_loss=0.2298 | val_acc=0.9214
[Seed 1] Epoch 036/100 | train_loss=0.1440 | val_loss=0.2323 | val_acc=0.9199
[Seed 1] Epoch 037/100 | train_loss=0.1402 | val_loss=0.2321 | val_acc=0.9189
[Seed 1] Epoch 038/100 | train_loss=0.1388 | val_loss=0.2309 | val_acc=0.9208
[Seed 1] Epoch 039/100 | train_loss=0.1356 | val_loss=0.2289 | val_acc=0.9229
[Seed 1] Epoch 040/100 | train_loss=0.1322 | val_loss=0.2306 | val_acc=0.9209
[Seed 1] Epoch 041/100 | train_loss=0.1304 | val_loss=0.2270 | val_acc=0.9212
[Seed 1] Epoch 042/100 | train_loss=0.1273 | val_loss=0.2274 | val_acc=0.9225
[Seed 1] Epoch 043/100 | train_loss=0.1258 | val_loss=0.2296 | val_acc=0.9208
[Seed 1] Epoch 044/100 | train_loss=0.1236 | val_loss=0.2318 | val_acc=0.9212
[Seed 1] Epoch 045/100 | train_loss=0.1212 | val_loss=0.2299 | val_acc=0.9212
[Seed 1] Epoch 046/100 | train_loss=0.1191 | val_loss=0.2329 | val_acc=0.9212
[Seed 1] Epoch 047/100 | train_loss=0.1172 | val_loss=0.2303 | val_acc=0.9218
[Seed 1] Epoch 048/100 | train_loss=0.1139 | val_loss=0.2300 | val_acc=0.9229
[Seed 1] Epoch 049/100 | train_loss=0.1136 | val_loss=0.2330 | val_acc=0.9220
[Seed 1] Epoch 050/100 | train_loss=0.1102 | val_loss=0.2309 | val_acc=0.9228
[Seed 1] Epoch 051/100 | train_loss=0.1096 | val_loss=0.2298 | val_acc=0.9218
[Seed 1] Epoch 052/100 | train_loss=0.1075 | val_loss=0.2311 | val_acc=0.9205
[Seed 1] Epoch 053/100 | train_loss=0.1055 | val_loss=0.2382 | val_acc=0.9195
[Seed 1] Epoch 054/100 | train_loss=0.1039 | val_loss=0.2346 | val_acc=0.9217
[Seed 1] Epoch 055/100 | train_loss=0.1020 | val_loss=0.2330 | val_acc=0.9209
[Seed 1] Epoch 056/100 | train_loss=0.1008 | val_loss=0.2317 | val_acc=0.9213
[Seed 1] Epoch 057/100 | train_loss=0.0993 | val_loss=0.2338 | val_acc=0.9234
[Seed 1] Epoch 058/100 | train_loss=0.0981 | val_loss=0.2349 | val_acc=0.9196
[Seed 1] Epoch 059/100 | train_loss=0.0964 | val_loss=0.2343 | val_acc=0.9213
[Seed 1] Epoch 060/100 | train_loss=0.0953 | val_loss=0.2356 | val_acc=0.9221
[Seed 1] Epoch 061/100 | train_loss=0.0936 | val_loss=0.2347 | val_acc=0.9220
[Seed 1] Epoch 062/100 | train_loss=0.0918 | val_loss=0.2352 | val_acc=0.9228
[Seed 1] Epoch 063/100 | train_loss=0.0908 | val_loss=0.2369 | val_acc=0.9205
[Seed 1] Epoch 064/100 | train_loss=0.0896 | val_loss=0.2363 | val_acc=0.9214
[Seed 1] Epoch 065/100 | train_loss=0.0887 | val_loss=0.2366 | val_acc=0.9213
[Seed 1] Epoch 066/100 | train_loss=0.0880 | val_loss=0.2399 | val_acc=0.9197
[Seed 1] Epoch 067/100 | train_loss=0.0874 | val_loss=0.2371 | val_acc=0.9229
[Seed 1] Epoch 068/100 | train_loss=0.0859 | val_loss=0.2385 | val_acc=0.9221
[Seed 1] Epoch 069/100 | train_loss=0.0846 | val_loss=0.2390 | val_acc=0.9216
[Seed 1] Epoch 070/100 | train_loss=0.0838 | val_loss=0.2390 | val_acc=0.9217
[Seed 1] Epoch 071/100 | train_loss=0.0832 | val_loss=0.2394 | val_acc=0.9213
[Seed 1] Epoch 072/100 | train_loss=0.0822 | val_loss=0.2382 | val_acc=0.9208
[Seed 1] Epoch 073/100 | train_loss=0.0815 | val_loss=0.2393 | val_acc=0.9217
[Seed 1] Epoch 074/100 | train_loss=0.0808 | val_loss=0.2410 | val_acc=0.9217
[Seed 1] Epoch 075/100 | train_loss=0.0802 | val_loss=0.2398 | val_acc=0.9220
[Seed 1] Epoch 076/100 | train_loss=0.0794 | val_loss=0.2408 | val_acc=0.9214
[Seed 1] Epoch 077/100 | train_loss=0.0789 | val_loss=0.2399 | val_acc=0.9200
[Seed 1] Epoch 078/100 | train_loss=0.0784 | val_loss=0.2413 | val_acc=0.9201
[Seed 1] Epoch 079/100 | train_loss=0.0778 | val_loss=0.2401 | val_acc=0.9209
[Seed 1] Epoch 080/100 | train_loss=0.0774 | val_loss=0.2413 | val_acc=0.9211
[Seed 1] Epoch 081/100 | train_loss=0.0768 | val_loss=0.2413 | val_acc=0.9208
[Seed 1] Epoch 082/100 | train_loss=0.0764 | val_loss=0.2412 | val_acc=0.9205
[Seed 1] Epoch 083/100 | train_loss=0.0762 | val_loss=0.2411 | val_acc=0.9199
[Seed 1] Epoch 084/100 | train_loss=0.0756 | val_loss=0.2414 | val_acc=0.9216
[Seed 1] Epoch 085/100 | train_loss=0.0754 | val_loss=0.2417 | val_acc=0.9205
[Seed 1] Epoch 086/100 | train_loss=0.0751 | val_loss=0.2426 | val_acc=0.9209
[Seed 1] Epoch 087/100 | train_loss=0.0749 | val_loss=0.2418 | val_acc=0.9208
[Seed 1] Epoch 088/100 | train_loss=0.0745 | val_loss=0.2420 | val_acc=0.9204
[Seed 1] Epoch 089/100 | train_loss=0.0744 | val_loss=0.2418 | val_acc=0.9203
[Seed 1] Epoch 090/100 | train_loss=0.0741 | val_loss=0.2419 | val_acc=0.9211
[Seed 1] Epoch 091/100 | train_loss=0.0740 | val_loss=0.2418 | val_acc=0.9205
[Seed 1] Epoch 092/100 | train_loss=0.0738 | val_loss=0.2420 | val_acc=0.9201
[Seed 1] Epoch 093/100 | train_loss=0.0737 | val_loss=0.2420 | val_acc=0.9208
[Seed 1] Epoch 094/100 | train_loss=0.0736 | val_loss=0.2420 | val_acc=0.9211
[Seed 1] Epoch 095/100 | train_loss=0.0735 | val_loss=0.2420 | val_acc=0.9211
[Seed 1] Epoch 096/100 | train_loss=0.0734 | val_loss=0.2421 | val_acc=0.9211
[Seed 1] Epoch 097/100 | train_loss=0.0734 | val_loss=0.2421 | val_acc=0.9209
[Seed 1] Epoch 098/100 | train_loss=0.0734 | val_loss=0.2421 | val_acc=0.9209
[Seed 1] Epoch 099/100 | train_loss=0.0733 | val_loss=0.2421 | val_acc=0.9209
[Seed 1] Epoch 100/100 | train_loss=0.0733 | val_loss=0.2421 | val_acc=0.9209
Seed 1 finished: best_val=0.9234, time=1.03 min
[Seed 2] Epoch 001/100 | train_loss=0.4822 | val_loss=0.3311 | val_acc=0.8851
[Seed 2] Epoch 002/100 | train_loss=0.3015 | val_loss=0.2995 | val_acc=0.8928
[Seed 2] Epoch 003/100 | train_loss=0.2798 | val_loss=0.2885 | val_acc=0.8971
[Seed 2] Epoch 004/100 | train_loss=0.2690 | val_loss=0.2808 | val_acc=0.9007
[Seed 2] Epoch 005/100 | train_loss=0.2620 | val_loss=0.2742 | val_acc=0.8997
[Seed 2] Epoch 006/100 | train_loss=0.2539 | val_loss=0.2744 | val_acc=0.9038
[Seed 2] Epoch 007/100 | train_loss=0.2486 | val_loss=0.2727 | val_acc=0.9038
[Seed 2] Epoch 008/100 | train_loss=0.2431 | val_loss=0.2670 | val_acc=0.9054
[Seed 2] Epoch 009/100 | train_loss=0.2383 | val_loss=0.2606 | val_acc=0.9066
[Seed 2] Epoch 010/100 | train_loss=0.2348 | val_loss=0.2560 | val_acc=0.9092
[Seed 2] Epoch 011/100 | train_loss=0.2298 | val_loss=0.2545 | val_acc=0.9084
[Seed 2] Epoch 012/100 | train_loss=0.2253 | val_loss=0.2588 | val_acc=0.9095
[Seed 2] Epoch 013/100 | train_loss=0.2215 | val_loss=0.2507 | val_acc=0.9103
[Seed 2] Epoch 014/100 | train_loss=0.2161 | val_loss=0.2468 | val_acc=0.9133
[Seed 2] Epoch 015/100 | train_loss=0.2127 | val_loss=0.2456 | val_acc=0.9128
[Seed 2] Epoch 016/100 | train_loss=0.2083 | val_loss=0.2409 | val_acc=0.9136
